                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    105,                0.74921,                0.52435,                0.82749,                0.94668,                0.71656,                0.72619,                0.60538,                0.63029,                0.53449,                0.80293,              0.0011213,              0.0011213,              0.0011213
                    106,                0.70798,                0.49943,                0.84317,                0.95236,                0.70868,                0.73016,                0.58647,                0.78113,                0.61025,                0.80174,              0.0011201,              0.0011201,              0.0011201
                    107,                0.73346,                0.49783,                0.83777,                0.93493,                0.73137,                0.72432,                0.58518,                0.73341,                0.60286,                0.80249,              0.0011188,              0.0011188,              0.0011188
                    108,                0.69826,                0.48391,                0.84362,                0.95738,                0.70047,                0.72519,                0.61102,                0.63288,                0.50087,                0.80752,              0.0011176,              0.0011176,              0.0011176
                    109,                0.71021,                0.48691,                0.83811,                0.93795,                0.72912,                0.72449,                0.59025,                0.63424,                 0.5096,                0.80926,              0.0011164,              0.0011164,              0.0011164
                    110,                0.73239,                0.47355,                0.84051,                0.93371,                 0.7276,                0.72744,                0.62984,                0.57366,                0.53649,                0.78962,              0.0011151,              0.0011151,              0.0011151
                    111,                 0.7326,                0.50516,                0.83263,                0.95361,                0.69433,                0.72875,                0.62879,                0.59659,                0.52985,                0.79899,              0.0011139,              0.0011139,              0.0011139
                    112,                0.73573,                0.48175,                0.83324,                0.71597,                0.70548,                0.72949,                0.61901,                0.62138,                0.48793,                0.80538,              0.0011126,              0.0011126,              0.0011126
                    113,                0.74755,                0.47973,                0.84552,                0.94761,                 0.7254,                0.72862,                0.56196,                0.89121,                 0.5736,                0.81402,              0.0011114,              0.0011114,              0.0011114
                    114,                0.79193,                0.49191,                0.83983,                0.70042,                0.70868,                0.72498,                0.63295,                0.52872,                0.48115,                0.79604,              0.0011102,              0.0011102,              0.0011102
                    115,                0.73423,                0.47737,                0.84713,                0.68509,                0.71898,                0.72899,                  0.624,                0.62986,                0.50471,                0.80891,              0.0011089,              0.0011089,              0.0011089
                    116,                0.68674,                 0.4625,                0.83136,                0.69484,                0.73337,                0.73043,                0.63311,                0.57288,                  0.501,                0.79732,              0.0011077,              0.0011077,              0.0011077
                    117,                0.69709,                0.46361,                0.83154,                0.93357,                0.73776,                0.72822,                0.61944,                0.62498,                0.49995,                0.78944,              0.0011065,              0.0011065,              0.0011065
                    118,                0.71477,                0.45123,                0.83835,                0.94816,                0.70438,                0.72487,                 0.6232,                0.58309,                0.48044,                0.78593,              0.0011052,              0.0011052,              0.0011052
                    119,                0.68562,                0.44256,                0.83348,                0.69837,                0.71803,                0.72648,                0.60279,                0.69872,                0.50065,                0.79142,               0.001104,               0.001104,               0.001104
                    120,                0.76789,                0.47001,                0.83672,                0.70112,                0.71747,                0.72418,                0.62418,                0.56116,                0.47243,                0.78862,              0.0011027,              0.0011027,              0.0011027
                    121,                0.68355,                0.43956,                0.82337,                0.69605,                0.72901,                0.72653,                 0.6093,                0.70824,                 0.5015,                0.79377,              0.0011015,              0.0011015,              0.0011015
                    122,                0.70658,                0.44846,                0.82412,                0.69353,                0.72211,                0.72666,                0.61197,                0.67083,                0.49439,                0.79117,              0.0011003,              0.0011003,              0.0011003
                    123,                0.68644,                0.44393,                0.82706,                0.70691,                0.72911,                0.73253,                0.64043,                0.55429,                0.48156,                0.78933,               0.001099,               0.001099,               0.001099
                    124,                0.72091,                 0.4475,                0.82869,                0.68653,                0.73959,                0.72608,                 0.6261,                0.55068,                0.48535,                0.79645,              0.0010978,              0.0010978,              0.0010978
                    125,                0.67406,                0.43292,                0.82881,                0.95274,                0.71794,                0.72981,                0.60996,                0.68584,                0.49392,                0.79672,              0.0010965,              0.0010965,              0.0010965
                    126,                 0.6935,                0.44187,                0.83544,                0.69427,                0.70913,                0.72727,                0.60463,                0.69061,                0.50241,                 0.8031,              0.0010953,              0.0010953,              0.0010953
                    127,                0.67669,                0.42708,                0.83427,                0.70965,                0.72017,                0.72813,                0.63052,                0.53151,                0.47274,                0.78809,              0.0010941,              0.0010941,              0.0010941
                    128,                0.67985,                0.43639,                0.82575,                0.69312,                0.72849,                0.73073,                0.63084,                0.62357,                0.48432,                0.79785,              0.0010928,              0.0010928,              0.0010928
                    129,                0.67413,                0.44535,                0.83446,                0.70753,                0.70868,                0.73176,                0.60218,                0.77575,                0.49781,                0.79836,              0.0010916,              0.0010916,              0.0010916
                    130,                0.71513,                0.45957,                0.82862,                 0.9414,                0.70923,                0.72577,                0.62444,                0.57912,                0.48691,                0.78562,              0.0010904,              0.0010904,              0.0010904
                    131,                0.70616,                0.44016,                0.82206,                0.69868,                0.70488,                0.72958,                0.61902,                0.67761,                0.48163,                0.78914,              0.0010891,              0.0010891,              0.0010891
                    132,                0.70154,                0.44667,                0.82561,                0.70417,                0.71289,                 0.7327,                0.61513,                0.67374,                0.48234,                0.79591,              0.0010879,              0.0010879,              0.0010879
                    133,                0.68083,                 0.4255,                0.82485,                0.70849,                0.72968,                0.73625,                0.62913,                0.61757,                0.50068,                0.78402,              0.0010866,              0.0010866,              0.0010866
                    134,                0.70095,                0.44516,                0.82451,                0.93397,                0.73906,                 0.7322,                0.63436,                0.57646,                0.49587,                0.79142,              0.0010854,              0.0010854,              0.0010854
                    135,                0.72256,                 0.4457,                  0.823,                0.71869,                0.71285,                0.73482,                0.62704,                0.61284,                0.47973,                0.78863,              0.0010842,              0.0010842,              0.0010842
                    136,                0.65936,                0.41764,                0.82358,                0.69819,                0.72865,                0.73415,                0.64211,                0.56489,                0.45452,                0.78919,              0.0010829,              0.0010829,              0.0010829
                    137,                0.65338,                0.42979,                0.83125,                0.70102,                0.73819,                0.73244,                0.64175,                0.53241,                0.44196,                0.79371,              0.0010817,              0.0010817,              0.0010817
                    138,                0.69044,                0.43068,                0.82703,                0.69269,                0.73347,                0.73153,                0.62918,                0.60119,                0.46486,                0.79007,              0.0010805,              0.0010805,              0.0010805
                    139,                0.66856,                0.43493,                0.82818,                0.69613,                0.72619,                0.73213,                0.62177,                0.63576,                0.46592,                0.79636,              0.0010792,              0.0010792,              0.0010792
                    140,                0.69327,                0.42388,                0.82484,                0.69292,                0.73051,                 0.7304,                0.60368,                 0.7028,                0.48198,                0.79141,               0.001078,               0.001078,               0.001078
                    141,                0.70903,                0.42315,                 0.8249,                0.68651,                0.72433,                0.71497,                 0.6006,                 0.6295,                 0.4736,                0.78928,              0.0010768,              0.0010768,              0.0010768
                    142,                0.69839,                0.42687,                 0.8315,                 0.6982,                0.71865,                0.72484,                0.57948,                0.81598,                0.50822,                0.79752,              0.0010755,              0.0010755,              0.0010755
                    143,                0.70546,                 0.4274,                0.82594,                0.70309,                0.73137,                0.72628,                0.64012,                0.50229,                0.43765,                0.78379,              0.0010743,              0.0010743,              0.0010743
                    144,                0.70308,                0.42963,                0.82855,                0.67836,                0.71924,                0.72822,                0.63464,                0.61805,                0.46773,                0.79443,               0.001073,               0.001073,               0.001073
                    145,                0.63421,                0.42264,                0.81978,                0.68844,                0.73316,                0.72915,                0.62375,                0.60443,                0.46386,                0.78746,              0.0010718,              0.0010718,              0.0010718
